chromatic_number,clique_number,max_independent_set,domination_number,clique_cover_number,target
418.0,418.0,3.0,3.0,4.0,1.0
410.0,410.0,3.0,3.0,4.0,1.0
394.0,394.0,3.0,3.0,3.0,1.0
422.0,422.0,4.0,4.0,4.0,1.0
423.0,423.0,4.0,4.0,4.0,1.0
426.0,426.0,4.0,4.0,4.0,1.0
428.0,428.0,3.0,3.0,4.0,1.0
416.0,416.0,3.0,3.0,3.0,1.0
411.0,411.0,4.0,3.0,4.0,1.0
405.0,405.0,3.0,3.0,4.0,1.0
398.0,398.0,4.0,4.0,4.0,1.0
403.0,403.0,4.0,4.0,4.0,1.0
419.0,419.0,4.0,4.0,4.0,1.0
409.0,409.0,3.0,3.0,3.0,1.0
390.0,390.0,3.0,3.0,4.0,1.0
413.0,413.0,3.0,3.0,3.0,1.0
421.0,421.0,4.0,4.0,5.0,1.0
416.0,416.0,3.0,3.0,4.0,1.0
412.0,412.0,3.0,3.0,4.0,1.0
405.0,405.0,4.0,4.0,4.0,1.0
427.0,427.0,3.0,3.0,4.0,1.0
415.0,415.0,3.0,3.0,3.0,1.0
404.0,404.0,3.0,3.0,4.0,1.0
417.0,417.0,4.0,3.0,4.0,1.0
421.0,421.0,5.0,5.0,5.0,1.0
415.0,415.0,3.0,3.0,3.0,1.0
405.0,405.0,3.0,3.0,4.0,1.0
415.0,415.0,3.0,3.0,4.0,1.0
423.0,423.0,3.0,3.0,3.0,1.0
413.0,413.0,4.0,4.0,5.0,1.0
403.0,403.0,4.0,4.0,4.0,1.0
413.0,413.0,4.0,3.0,4.0,1.0
405.0,405.0,4.0,4.0,5.0,1.0
416.0,416.0,4.0,4.0,4.0,1.0
421.0,421.0,3.0,3.0,3.0,1.0
413.0,413.0,3.0,3.0,4.0,1.0
417.0,417.0,5.0,5.0,6.0,1.0
409.0,409.0,4.0,4.0,4.0,1.0
413.0,413.0,4.0,3.0,4.0,1.0
404.0,404.0,4.0,3.0,4.0,1.0
