chromatic_number,clique_number,max_independent_set,domination_number,clique_cover_number,target
478.0,478.0,3.0,3.0,3.0,0.0
463.0,463.0,4.0,4.0,4.0,0.0
470.0,470.0,4.0,4.0,5.0,0.0
469.0,469.0,4.0,4.0,5.0,0.0
466.0,466.0,4.0,4.0,4.0,0.0
456.0,456.0,4.0,4.0,5.0,0.0
474.0,474.0,3.0,3.0,3.0,0.0
459.0,459.0,3.0,3.0,4.0,0.0
463.0,463.0,3.0,3.0,4.0,0.0
464.0,464.0,4.0,4.0,4.0,0.0
455.0,455.0,5.0,6.0,6.0,0.0
467.0,467.0,6.0,6.0,7.0,0.0
461.0,461.0,4.0,4.0,5.0,0.0
471.0,471.0,6.0,7.0,7.0,0.0
470.0,470.0,5.0,5.0,5.0,0.0
470.0,470.0,4.0,4.0,5.0,0.0
474.0,474.0,3.0,3.0,3.0,0.0
475.0,475.0,5.0,5.0,5.0,0.0
470.0,470.0,4.0,4.0,6.0,0.0
480.0,480.0,4.0,4.0,4.0,0.0
467.0,467.0,4.0,3.0,5.0,0.0
467.0,467.0,5.0,5.0,6.0,0.0
478.0,478.0,3.0,3.0,4.0,0.0
470.0,470.0,5.0,5.0,5.0,0.0
459.0,459.0,6.0,6.0,6.0,0.0
470.0,470.0,4.0,4.0,5.0,0.0
477.0,477.0,4.0,4.0,4.0,0.0
462.0,462.0,3.0,3.0,4.0,0.0
473.0,473.0,3.0,3.0,3.0,0.0
463.0,463.0,5.0,5.0,6.0,0.0
469.0,469.0,5.0,5.0,5.0,0.0
469.0,469.0,4.0,4.0,5.0,0.0
467.0,467.0,4.0,4.0,5.0,0.0
470.0,470.0,5.0,5.0,5.0,0.0
469.0,469.0,4.0,4.0,4.0,0.0
472.0,472.0,5.0,5.0,5.0,0.0
468.0,468.0,3.0,3.0,4.0,0.0
466.0,466.0,4.0,4.0,5.0,0.0
460.0,460.0,4.0,3.0,4.0,0.0
463.0,463.0,6.0,6.0,6.0,0.0
468.0,468.0,5.0,5.0,6.0,0.0
468.0,468.0,5.0,5.0,5.0,0.0
472.0,472.0,3.0,3.0,3.0,0.0
457.0,457.0,4.0,4.0,4.0,0.0
459.0,459.0,3.0,3.0,3.0,0.0
465.0,465.0,5.0,4.0,5.0,0.0
465.0,465.0,3.0,3.0,4.0,0.0
462.0,462.0,4.0,4.0,4.0,0.0
466.0,466.0,4.0,4.0,5.0,0.0
465.0,465.0,4.0,4.0,5.0,0.0
464.0,464.0,4.0,4.0,5.0,0.0
457.0,457.0,5.0,5.0,5.0,0.0
466.0,466.0,4.0,3.0,4.0,0.0
473.0,473.0,4.0,4.0,4.0,0.0
469.0,469.0,4.0,3.0,4.0,0.0
478.0,478.0,4.0,4.0,4.0,0.0
462.0,462.0,3.0,3.0,4.0,0.0
461.0,461.0,4.0,4.0,4.0,0.0
469.0,469.0,5.0,5.0,5.0,0.0
471.0,471.0,5.0,5.0,5.0,0.0
471.0,471.0,3.0,4.0,4.0,0.0
469.0,469.0,5.0,4.0,5.0,0.0
475.0,475.0,4.0,4.0,5.0,0.0
462.0,462.0,4.0,4.0,5.0,0.0
472.0,472.0,4.0,4.0,4.0,0.0
455.0,455.0,4.0,4.0,5.0,0.0
469.0,469.0,7.0,7.0,7.0,0.0
471.0,471.0,4.0,4.0,5.0,0.0
472.0,472.0,3.0,2.0,4.0,0.0
474.0,474.0,4.0,4.0,4.0,0.0
468.0,468.0,4.0,4.0,5.0,0.0
465.0,465.0,4.0,4.0,4.0,0.0
470.0,470.0,4.0,4.0,4.0,0.0
459.0,459.0,4.0,4.0,4.0,0.0
476.0,476.0,4.0,4.0,5.0,0.0
469.0,469.0,4.0,4.0,5.0,0.0
461.0,461.0,4.0,4.0,5.0,0.0
462.0,462.0,4.0,4.0,5.0,0.0
461.0,461.0,4.0,4.0,5.0,0.0
468.0,468.0,3.0,3.0,4.0,0.0
465.0,465.0,4.0,4.0,4.0,0.0
465.0,465.0,3.0,3.0,4.0,0.0
475.0,475.0,4.0,3.0,4.0,0.0
467.0,467.0,5.0,5.0,5.0,0.0
472.0,472.0,4.0,5.0,5.0,0.0
464.0,464.0,6.0,6.0,6.0,0.0
468.0,468.0,5.0,5.0,5.0,0.0
471.0,471.0,5.0,5.0,5.0,0.0
472.0,472.0,6.0,5.0,6.0,0.0
480.0,480.0,3.0,3.0,3.0,0.0
460.0,460.0,3.0,3.0,4.0,0.0
468.0,468.0,5.0,5.0,6.0,0.0
464.0,464.0,3.0,3.0,3.0,0.0
464.0,464.0,4.0,4.0,4.0,0.0
469.0,469.0,5.0,5.0,6.0,0.0
467.0,467.0,3.0,3.0,4.0,0.0
477.0,477.0,3.0,3.0,4.0,0.0
476.0,476.0,3.0,3.0,4.0,0.0
469.0,469.0,3.0,3.0,4.0,0.0
474.0,474.0,3.0,3.0,4.0,0.0
410.0,410.0,4.0,4.0,5.0,1.0
418.0,418.0,4.0,4.0,4.0,1.0
402.0,402.0,4.0,4.0,5.0,1.0
415.0,415.0,3.0,2.0,3.0,1.0
419.0,419.0,3.0,3.0,3.0,1.0
417.0,417.0,3.0,3.0,3.0,1.0
421.0,421.0,3.0,4.0,4.0,1.0
416.0,416.0,4.0,4.0,4.0,1.0
421.0,421.0,4.0,4.0,5.0,1.0
416.0,416.0,3.0,3.0,4.0,1.0
404.0,404.0,4.0,3.0,4.0,1.0
431.0,431.0,3.0,3.0,4.0,1.0
417.0,417.0,4.0,4.0,5.0,1.0
419.0,419.0,4.0,3.0,4.0,1.0
415.0,415.0,4.0,3.0,4.0,1.0
425.0,425.0,4.0,4.0,4.0,1.0
411.0,411.0,4.0,3.0,4.0,1.0
420.0,420.0,3.0,3.0,4.0,1.0
404.0,404.0,4.0,3.0,4.0,1.0
416.0,416.0,5.0,5.0,6.0,1.0
412.0,412.0,3.0,3.0,4.0,1.0
392.0,392.0,3.0,3.0,4.0,1.0
411.0,411.0,3.0,3.0,4.0,1.0
410.0,410.0,3.0,3.0,4.0,1.0
418.0,418.0,3.0,3.0,4.0,1.0
416.0,416.0,4.0,3.0,4.0,1.0
423.0,423.0,3.0,3.0,4.0,1.0
420.0,420.0,4.0,4.0,5.0,1.0
405.0,405.0,3.0,3.0,4.0,1.0
422.0,422.0,3.0,3.0,3.0,1.0
412.0,412.0,3.0,3.0,4.0,1.0
408.0,408.0,4.0,4.0,5.0,1.0
406.0,406.0,4.0,4.0,4.0,1.0
402.0,402.0,4.0,4.0,5.0,1.0
427.0,427.0,3.0,3.0,3.0,1.0
417.0,417.0,5.0,4.0,5.0,1.0
438.0,438.0,4.0,3.0,4.0,1.0
423.0,423.0,4.0,3.0,4.0,1.0
412.0,412.0,3.0,4.0,4.0,1.0
400.0,400.0,4.0,3.0,4.0,1.0
410.0,410.0,4.0,3.0,4.0,1.0
408.0,408.0,4.0,4.0,5.0,1.0
408.0,408.0,4.0,4.0,4.0,1.0
415.0,415.0,4.0,3.0,4.0,1.0
419.0,419.0,3.0,3.0,4.0,1.0
405.0,405.0,4.0,3.0,4.0,1.0
411.0,411.0,4.0,4.0,4.0,1.0
415.0,415.0,4.0,4.0,4.0,1.0
414.0,414.0,4.0,4.0,5.0,1.0
401.0,401.0,4.0,4.0,4.0,1.0
416.0,416.0,4.0,3.0,4.0,1.0
403.0,403.0,4.0,4.0,4.0,1.0
409.0,409.0,3.0,3.0,4.0,1.0
402.0,402.0,4.0,3.0,5.0,1.0
391.0,391.0,3.0,3.0,4.0,1.0
400.0,400.0,3.0,3.0,4.0,1.0
398.0,398.0,4.0,3.0,4.0,1.0
413.0,413.0,4.0,4.0,5.0,1.0
406.0,406.0,3.0,3.0,4.0,1.0
410.0,410.0,3.0,3.0,4.0,1.0
